WKT,id,x_center,y_center
"POLYGON ((123.881835937499844 7.329778414392971,123.881835937499844 7.34067483185491,123.892822265624829 7.340674831854914,123.892822265624829 7.329778414392969,123.881835937499844 7.329778414392971))",2594,123.887329,7.335227
"POLYGON ((123.881835937499844 7.318881730366749,123.881835937499844 7.329778414392971,123.892822265624829 7.329778414392969,123.892822265624829 7.318881730366749,123.881835937499844 7.318881730366749))",2595,123.887329,7.324330
"POLYGON ((123.881835937499844 7.013667927566629,123.881835937499844 7.024571917846368,123.892822265624829 7.024571917846367,123.892822265624829 7.013667927566629,123.881835937499844 7.013667927566629))",2623,123.887329,7.019120
"POLYGON ((123.881835937499844 7.002763681982739,123.881835937499844 7.013667927566629,123.892822265624829 7.013667927566629,123.892822265624829 7.002763681982739,123.881835937499844 7.002763681982739))",2624,123.887329,7.008216
"POLYGON ((123.881835937499844 6.991859181483683,123.881835937499844 7.002763681982739,123.892822265624829 7.002763681982739,123.892822265624829 6.991859181483684,123.881835937499844 6.991859181483683))",2625,123.887329,6.997311
"POLYGON ((123.881835937499844 6.980954426458486,123.881835937499844 6.991859181483683,123.892822265624829 6.991859181483684,123.892822265624829 6.980954426458485,123.881835937499844 6.980954426458486))",2626,123.887329,6.986407
"POLYGON ((123.881835937499844 6.970049417296222,123.881835937499844 6.980954426458486,123.892822265624829 6.980954426458485,123.892822265624829 6.970049417296221,123.881835937499844 6.970049417296222))",2627,123.887329,6.975502
"POLYGON ((123.881835937499844 6.959144154386007,123.881835937499844 6.970049417296222,123.892822265624829 6.970049417296221,123.892822265624829 6.959144154386006,123.881835937499844 6.959144154386007))",2628,123.887329,6.964597
"POLYGON ((123.881835937499844 6.948238638117011,123.881835937499844 6.959144154386007,123.892822265624829 6.959144154386006,123.892822265624829 6.94823863811701,123.881835937499844 6.948238638117011))",2629,123.887329,6.953691
"POLYGON ((123.881835937499844 6.93733286887844,123.881835937499844 6.948238638117011,123.892822265624829 6.94823863811701,123.892822265624829 6.937332868878441,123.881835937499844 6.93733286887844))",2630,123.887329,6.942786
"POLYGON ((123.881835937499844 6.926426847059552,123.881835937499844 6.93733286887844,123.892822265624829 6.937332868878441,123.892822265624829 6.926426847059552,123.881835937499844 6.926426847059552))",2631,123.887329,6.931880
"POLYGON ((123.892822265624829 7.340674831854914,123.892822265624829 7.351570982365007,123.903808593749815 7.351570982365007,123.903808593749815 7.340674831854912,123.892822265624829 7.340674831854914))",2688,123.898315,7.346123
"POLYGON ((123.892822265624829 7.329778414392969,123.892822265624829 7.340674831854914,123.903808593749815 7.340674831854912,123.903808593749815 7.329778414392967,123.892822265624829 7.329778414392969))",2689,123.898315,7.335227
"POLYGON ((123.892822265624829 7.318881730366749,123.892822265624829 7.329778414392969,123.903808593749815 7.329778414392967,123.903808593749815 7.318881730366751,123.892822265624829 7.318881730366749))",2690,123.898315,7.324330
"POLYGON ((123.892822265624829 7.307984780163872,123.892822265624829 7.318881730366749,123.903808593749815 7.318881730366751,123.903808593749815 7.307984780163871,123.892822265624829 7.307984780163872))",2691,123.898315,7.313433
"POLYGON ((123.892822265624829 7.297087564171997,123.892822265624829 7.307984780163872,123.903808593749815 7.307984780163871,123.903808593749815 7.297087564171998,123.892822265624829 7.297087564171997))",2692,123.898315,7.302536
"POLYGON ((123.892822265624829 7.089990476360541,123.892822265624829 7.100892668623644,123.903808593749815 7.100892668623646,123.903808593749815 7.089990476360541,123.892822265624829 7.089990476360541))",2711,123.898315,7.095442
"POLYGON ((123.892822265624829 7.079088026071714,123.892822265624829 7.089990476360541,123.903808593749815 7.089990476360541,123.903808593749815 7.079088026071714,123.892822265624829 7.079088026071714))",2712,123.898315,7.084539
"POLYGON ((123.892822265624829 7.068185318145823,123.892822265624829 7.079088026071714,123.903808593749815 7.079088026071714,123.903808593749815 7.068185318145823,123.892822265624829 7.068185318145823))",2713,123.898315,7.073637
"POLYGON ((123.892822265624829 7.057282352971569,123.892822265624829 7.068185318145823,123.903808593749815 7.068185318145823,123.903808593749815 7.057282352971569,123.892822265624829 7.057282352971569))",2714,123.898315,7.062734
"POLYGON ((123.892822265624829 7.046379130937702,123.892822265624829 7.057282352971569,123.903808593749815 7.057282352971569,123.903808593749815 7.046379130937702,123.892822265624829 7.046379130937702))",2715,123.898315,7.051831
"POLYGON ((123.892822265624829 7.035475652433021,123.892822265624829 7.046379130937702,123.903808593749815 7.046379130937702,123.903808593749815 7.03547565243302,123.892822265624829 7.035475652433021))",2716,123.898315,7.040927
"POLYGON ((123.892822265624829 7.024571917846367,123.892822265624829 7.035475652433021,123.903808593749815 7.03547565243302,123.903808593749815 7.024571917846366,123.892822265624829 7.024571917846367))",2717,123.898315,7.030024
"POLYGON ((123.892822265624829 7.013667927566629,123.892822265624829 7.024571917846367,123.903808593749815 7.024571917846366,123.903808593749815 7.01366792756663,123.892822265624829 7.013667927566629))",2718,123.898315,7.019120
"POLYGON ((123.892822265624829 7.002763681982739,123.892822265624829 7.013667927566629,123.903808593749815 7.01366792756663,123.903808593749815 7.002763681982739,123.892822265624829 7.002763681982739))",2719,123.898315,7.008216
"POLYGON ((123.892822265624829 6.991859181483684,123.892822265624829 7.002763681982739,123.903808593749815 7.002763681982739,123.903808593749815 6.991859181483682,123.892822265624829 6.991859181483684))",2720,123.898315,6.997311
"POLYGON ((123.892822265624829 6.980954426458485,123.892822265624829 6.991859181483684,123.903808593749815 6.991859181483682,123.903808593749815 6.980954426458486,123.892822265624829 6.980954426458485))",2721,123.898315,6.986407
"POLYGON ((123.892822265624829 6.970049417296221,123.892822265624829 6.980954426458485,123.903808593749815 6.980954426458486,123.903808593749815 6.970049417296221,123.892822265624829 6.970049417296221))",2722,123.898315,6.975502
"POLYGON ((123.892822265624829 6.959144154386006,123.892822265624829 6.970049417296221,123.903808593749815 6.970049417296221,123.903808593749815 6.959144154386007,123.892822265624829 6.959144154386006))",2723,123.898315,6.964597
